classification,created_at,created_by,is_cold_storage,is_habit_forming,name
"",,,false,false,Dextromethorphan
"",,,false,false,Domperidone
"",,,false,false,Rabeprazole
HD,2018-01-19T07:47:27.609Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Norethisterone
"",,,false,false,Gabapentin
"",,,false,false,Mecobalamin
HD,2018-01-19T07:47:29.368Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Ascorbic Acid (Vit C)
HD,2018-01-19T07:47:29.369Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Carbonyl Iron
HD,2018-01-19T07:47:29.371Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Folic Acid
HD,2018-01-19T07:47:29.373Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Zinc Oxide
HD,2018-01-19T07:47:29.375Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Cyanocobalamin (Vitamin B12)
"",,,false,false,Cefixime
HD,2018-01-19T07:47:29.847Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Diclofenac Sodium
"",,,false,false,Serratiopeptidase
HD,2018-01-19T07:47:29.998Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Cefuroxime Axetil
"",,,false,false,Cetirizine
"",,,false,false,Paracetamol
"",,,false,false,Phenylephrine
"",,,false,false,Ofloxacin
"",,,false,false,Ornidazole
"",,,false,false,Pantoprazole
"",,,false,false,Gatifloxacin
"",,,false,false,Calcitriol
HD,2018-01-19T07:47:31.180Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Calcium Carbonate
"",,,false,false,Lycopene
HD,2018-01-19T07:47:31.321Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Tocopheryl (Vit E)
"",,,false,false,Vitamins
HD,2018-01-19T07:47:31.326Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Selenium Sulphide
H1D,2018-01-19T07:47:31.491Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Cefoperazone
"",,,false,false,Sulbactam
"",,,false,false,Ceftriaxone
H1D,2018-01-19T07:47:32.065Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Cefotaxime
H1D,2018-01-19T07:47:32.212Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Ceftazidime
H1D,2018-01-19T07:47:32.650Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Tazobactam
"",,,false,false,Mometasone
"",,,false,false,Menthol
HD,2018-01-19T07:47:32.946Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Triprolidine
"",,,false,false,Phenylpropanolamine
"",,,false,false,General
"",,,false,false,Azithromycin
"",,,false,false,Multivitamin
"",,,false,false,Levocetirizine
"",,,false,false,Montelukast
"",,,false,false,Aceclofenac
"",,,false,false,Amoxicillin
HD,2018-01-19T07:47:36.184Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Clavulanate(Clavulanic Acid)
HD,2018-01-19T07:47:36.343Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Ferrous Ascorbate
HD,2018-01-19T07:47:36.498Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Cholecalciferol (Vit D3)
HD,2018-01-19T07:47:36.500Z,"{ ""lastName"" : ""User"", ""_id"" : 100001, ""firstName"" : ""System"" }",false,false,Calcium Citrate
